,담보대출_대출용도_거주주택 구입,담보대출_대출용도_거주주택이외 부동산 구입,담보대출_대출용도_전(월)세 보증금 마련,담보대출_대출용도_사업자금 마련,담보대출_대출용도_생활비 마련,담보대출_대출기관_은행(2010년은 농수협 중앙회 제외),담보대출_대출기관_저축은행,담보대출_대출기관_비은행금융기관(2010년은 농수협중앙회 포함),신용대출_대출용도_거주주택 구입,신용대출_대출용도_거주주택이외 부동산 구입,신용대출_대출용도_전(월)세 보증금 마련,신용대출_대출용도_사업자금 마련,신용대출_대출용도_생활비 마련,신용대출_대출기관_은행(2010년은 농수협 중앙회 제외),신용대출_대출기관_저축은행,신용대출_대출기관_비은행금융기관(2010년은 농수협중앙회 포함),자산,부채,순자산액,가구주 은퇴여부,가구주 성별,가구주교육정도 통합별,가구주 혼인상태,입주형태,수도권여부,가구주 직업(대분류),가구주 종사상지위,부실가계
30,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,37384,13.0,37371.0,1,1,0,1,1,1,0,0,0
31,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,80000,400.0,79600.0,0,0,0,1,1,1,0,0,0
32,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0,0.0,1,0,720,1350.0,-630.0,1,0,0,1,0,1,1,1,0
33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,510,0.0,510.0,1,0,0,1,0,1,1,0,0
34,0,0.0,1,0.0,0,1.0,0,0.0,0,0.0,0,0,0,1.0,0,0,117080,21540.0,95540.0,1,0,1,1,0,1,0,0,1
35,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,80190,2000.0,78190.0,1,1,1,0,1,1,0,0,0
36,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,4448,2577.0,1871.0,1,1,0,0,0,1,0,0,0
37,0,0.0,0,0.0,1,1.0,0,1.0,0,0.0,0,0,0,0.0,0,0,20794,8100.0,12694.0,1,0,0,1,1,1,0,0,1
38,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0,1.0,0,0,34154,20700.0,13454.0,1,0,1,1,0,1,0,0,0
39,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,61230,1000.0,60230.0,0,0,0,1,1,0,0,0,0
40,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,6890,0.0,6890.0,1,1,0,0,1,0,0,1,0
41,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,119,0.0,119.0,0,1,0,0,0,0,0,0,0
42,1,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0,0,0.0,0,0,23820,1100.0,22720.0,1,1,0,0,1,0,0,0,0
43,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,29270,8.0,29262.0,1,0,0,1,1,0,0,0,0
44,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,29416,0.0,29416.0,1,1,0,1,1,1,0,0,0
45,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,15100,0.0,15100.0,0,1,0,0,1,1,0,0,0
46,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,118610,0.0,118610.0,1,0,1,1,0,1,0,1,0
47,1,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,1,0,0.0,0,0,33135,15410.0,17725.0,1,0,0,1,1,1,0,0,1
48,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,18602,150.0,18452.0,1,1,0,0,0,1,0,0,0
49,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,1.0,0,0,128844,9120.0,119724.0,1,0,1,1,1,1,0,0,0
50,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,18672,0.0,18672.0,1,1,1,0,0,1,0,0,0
