,부채,금융부채,담보대출,담보대출_대출용도_거주주택 구입,담보대출_대출용도_거주주택이외 부동산 구입,담보대출_대출용도_전(월)세 보증금 마련,담보대출_대출용도_부채상환,담보대출_대출용도_사업자금 마련,담보대출_대출용도_생활비 마련,담보대출_대출용도_기타 용도 등,담보대출_대출기관_은행(2010년은 농수협 중앙회 제외),담보대출_대출기관_저축은행,담보대출_대출기관_비은행금융기관(2010년은 농수협중앙회 포함),담보대출_대출기관_보험회사,담보대출_대출기관_기타 기관 등,담보대출_상환방법_만기일시,담보대출_상환방법_원금 분할 상환,담보대출_상환방법_원리금 분할 상환,담보대출_상환방법_원리금 분할 및 일부만기 상환,담보대출_상환방법_기타 상환방법,담보대출_담보형태_거주 주택,담보대출_담보형태_거주 주택 이외 부동산,담보대출_담보형태_예적금 보험 펀드 채권 등,"담보대출_담보형태_기타(전세권, 자동차 등)",부동산 담보대출,부동산 이외 담보대출,신용대출,신용대출_대출용도_거주주택 구입,신용대출_대출용도_거주주택이외 부동산 구입,신용대출_대출용도_전(월)세 보증금 마련,신용대출_대출용도_부채상환,신용대출_대출용도_사업자금 마련,신용대출_대출용도_생활비 마련,신용대출_대출용도_기타 용도 등,신용대출_대출기관_은행(2010년은 농수협 중앙회 제외),신용대출_대출기관_저축은행,신용대출_대출기관_비은행금융기관(2010년은 농수협중앙회 포함),신용대출_대출기관_보험회사,신용대출_대출기관_기타 기관 등,신용대출_상환방법_만기일시,신용대출_상환방법_원금 분할 상환,신용대출_상환방법_원리금 분할 상환,신용대출_상환방법_원리금 분할 및 일부만기 상환,신용대출_상환방법_기타 상환방법,신용대출_대출종류_신용대출,신용대출_대출종류_마이너스통장,신용카드 관련 대출,외상 및 할부미상환액,곗탄후 불입금액,개인 직장에서 빌린 돈_2017년 부터,임대보증금,원리금상환액,원금상환액,이자지급액,순자산액,경상소득(보완),근로소득(보완),사업소득(보완),재산소득(보완),공적 이전소득(보완),사적 이전소득(조사),이전소득(보완)[공적 이전소득(보완)+사적 이전소득(조사)],처분가능소득(보완)[경상소득(보완)-비소비지출(보완)],소비지출,식료품(외식비포함),주거비,교육비(보육료포함),의료비,교통비,통신비,기타 소비지출,"지출(보완)[비소비지출(보완)+소비지출(조사)](2012~2018년: 복지, 2019년~:공통)",비소비지출(보완),세금(보완),공적연금·사회보험료(보완),가구간 이전지출(조사),비영리단체 이전지출(조사),연간지급이자(조사),여유자금 운용 계획,금융자산 투자 시 운용방법,금융자산 투자 시 고려사항,거주지 주택가격 전망,여유자금 부동산 투자 여부
1061,13024.0,13024.0,8000.0,0,0.0,0,0,8000.0,0,0.0,0.0,0,8000.0,0,0,8000.0,0,0.0,0.0,0,0,8000.0,0.0,0,8000.0,0.0,470.0,0,0.0,0,0,470,0,0,0.0,0,470,0,0,0.0,0,0,0,470,0.0,470,130,4424,0,0,0.0,2730,2100,630,69674.0,8656,0,8000,6,500,150,650,7135,6300,1400,500,500,200,800,200,2700,7821,1521,91,50,750,0,630,저축과 금융자산 투자,은행 예금,수익성,상승할 것이다,예
1062,4204.0,4204.0,2895.0,2895,0.0,0,0,0.0,0,0.0,2895.0,0,0.0,0,0,0.0,0,2895.0,0.0,0,2895,0.0,0.0,0,2895.0,0.0,960.0,960,0.0,0,0,0,0,0,960.0,0,0,0,0,0.0,0,0,960,0,960.0,0,0,323,26,0,0.0,211,211,0,4618.0,4357,3941,144,8,264,0,264,3917,2476,360,240,600,120,55,248,853,2916,440,82,208,78,72,0,부채 상환,은행 예금,안전성,모르겠다,아니오
1068,5050.0,2050.0,2000.0,0,2000.0,0,0,0.0,0,0.0,2000.0,0,0.0,0,0,0.0,0,2000.0,0.0,0,2000,0.0,0.0,0,2000.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,50,0,0,3000.0,3166,3104,62,34309.0,7841,3592,747,1980,1407,115,1522,6903,1159,438,125,0,79,85,132,300,2097,938,223,399,214,40,62,부동산 구입,은행 예금,안전성,변화 없을 것이다,예
1071,19162.0,19162.0,18680.0,18680,0.0,0,0,0.0,0,0.0,18680.0,0,0.0,0,0,0.0,18680,0.0,0.0,0,18680,0.0,0.0,0,18680.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,482,0,0,0.0,1308,798,510,17059.0,10006,0,5000,6,0,5000,5000,9133,7262,480,214,500,5000,250,280,538,8135,873,20,143,100,100,510,저축과 금융자산 투자,은행 예금,수익성,상승할 것이다,예
1076,25000.0,25000.0,1000.0,0,0.0,1000,0,0.0,0,0.0,0.0,0,1000.0,0,0,1000.0,0,0.0,0.0,0,0,0.0,0.0,1000,0.0,1000.0,1000.0,0,0.0,0,0,0,1000,0,0.0,0,0,0,1000,0.0,0,0,0,1000,1000.0,0,0,0,0,23000,0.0,860,500,360,-19488.0,4500,0,4500,0,0,0,0,3959,3773,1201,852,121,66,398,368,767,4314,541,11,0,50,120,360,부채 상환,저축은행 예금,안전성,모르겠다,예
1077,200.0,200.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,200,0,0,0.0,4680,4580,100,70025.0,10524,10279,0,245,0,0,0,7559,4300,1000,400,0,500,600,100,1700,7265,2965,1402,723,500,240,100,저축과 금융자산 투자,은행 예금,안전성,하락할 것이다,예
1080,900.0,400.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,400.0,0,0.0,0,0,0,400,0,400.0,0,0,0,0,0.0,0,0,0,400,0.0,400,0,0,0,0,500.0,114,100,14,19130.0,6154,5686,0,468,0,0,0,5489,3500,800,350,500,200,350,300,1000,4165,665,194,457,0,0,14,저축과 금융자산 투자,은행 예금,안전성,하락할 것이다,예
1085,18500.0,18500.0,18500.0,18500,0.0,0,0,0.0,0,0.0,18500.0,0,0.0,0,0,0.0,18500,0.0,0.0,0,18500,0.0,0.0,0,18500.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,27996.0,4410,3459,17,0,434,500,934,3407,2459,360,112,20,208,600,240,919,3462,1003,186,597,100,120,0,부채 상환,은행 예금,안전성,상승할 것이다,예
1088,6000.0,6000.0,6000.0,3740,0.0,0,0,0.0,0,2260.0,6000.0,0,0.0,0,0,0.0,0,6000.0,0.0,0,6000,0.0,0.0,0,6000.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,400,300,100,45220.0,10761,10756,0,5,0,0,0,8753,4160,1800,360,500,100,100,250,1050,6168,2008,1158,650,100,0,100,저축과 금융자산 투자,은행 예금,안전성,상승할 것이다,예
1090,370.0,370.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,370,0,0,0.0,130,130,0,4980.0,2216,1224,0,0,992,0,992,2089,1174,600,372,0,10,20,60,112,1301,127,28,39,0,60,0,"내구재(자동차, 가구 등) 구입",은행 예금,안전성,변화 없을 것이다,예
1091,2500.0,2500.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,2500.0,0,0.0,0,0,0,0,2500,0.0,0,0,0,2500,0.0,0,0,0,2500,2500.0,0,0,0,0,0,0.0,108,0,108,-290.0,5125,5082,43,0,0,0,0,4599,1954,600,420,0,0,240,144,550,2480,526,57,361,0,0,108,저축과 금융자산 투자,은행 예금,수익성,변화 없을 것이다,예
1093,4000.0,4000.0,4000.0,0,0.0,0,0,4000.0,0,0.0,4000.0,0,0.0,0,0,0.0,4000,0.0,0.0,0,0,4000.0,0.0,0,4000.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,312,0,312,13856.0,927,0,300,17,595,15,610,504,761,120,340,0,60,80,11,150,1184,423,41,0,70,0,312,저축과 금융자산 투자,비은행금융기관 예금,안전성,변화 없을 것이다,아니오
1094,19000.0,19000.0,19000.0,19000,0.0,0,0,0.0,0,0.0,19000.0,0,0.0,0,0,19000.0,0,0.0,0.0,0,19000,0.0,0.0,0,19000.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,1790,1000,790,25440.0,13135,2844,10248,43,0,0,0,11959,2060,600,180,0,76,480,264,460,3236,1176,138,158,90,0,790,"내구재(자동차, 가구 등) 구입",은행 예금,안전성,변화 없을 것이다,예
1095,17050.0,17050.0,17000.0,17000,0.0,0,0,0.0,0,0.0,17000.0,0,0.0,0,0,0.0,0,17000.0,0.0,0,17000,0.0,0.0,0,17000.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,50,0,0,0.0,2273,1626,647,52599.0,9596,9471,0,5,120,0,120,6909,4090,996,396,500,62,526,117,1493,6777,2687,436,954,560,90,647,부채 상환,은행 예금,안전성,변화 없을 것이다,예
1100,700.0,700.0,700.0,0,0.0,0,0,0.0,0,700.0,0.0,0,700.0,0,0,700.0,0,0.0,0.0,0,0,0.0,700.0,0,0.0,700.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,11,0,11,3743.0,3017,2433,0,184,200,200,400,2897,1902,361,202,0,1025,121,48,145,2022,120,6,93,10,0,11,부채 상환,은행 예금,안전성,변화 없을 것이다,아니오
1101,8828.0,8828.0,8828.0,8828,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,8828,0.0,0,8828.0,0.0,0,8828,0.0,0.0,0,8828.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,600,396,204,7772.0,5157,0,4600,1,556,0,556,4426,2759,800,230,85,50,500,144,950,3490,731,155,292,80,0,204,저축과 금융자산 투자,은행 예금,안전성,하락할 것이다,아니오
1102,160.0,160.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,160.0,0,0.0,0,0,160,0,0,0.0,0,160,0,0,160.0,0,0,0,0,160.0,0,0,0,0,0,0.0,0,0,0,32690.0,1370,0,200,17,873,280,1153,1350,1192,240,55,0,194,220,180,303,1212,20,20,0,0,0,0,저축과 금융자산 투자,비은행금융기관 예금,안전성,하락할 것이다,예
1110,6729.0,6729.0,6729.0,6729,0.0,0,0,0.0,0,0.0,6729.0,0,0.0,0,0,0.0,0,6729.0,0.0,0,6729,0.0,0.0,0,6729.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,374,216,158,22050.0,2559,0,200,30,2129,200,2329,2247,1571,663,252,0,116,135,144,261,1883,312,34,0,100,20,158,부채 상환,은행 예금,안전성,변화 없을 것이다,아니오
1113,4500.0,4500.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,4500.0,0,0.0,0,0,0,4500,0,4500.0,0,0,0,0,4500.0,0,0,0,0,4500.0,0,0,0,0,0,0.0,300,60,240,16850.0,6314,5763,0,1,50,500,550,5328,3719,960,399,960,100,220,200,880,4705,986,59,457,200,30,240,부채 상환,주식(직접투자),수익성,하락할 것이다,예
1115,100.0,100.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,100.0,0,0.0,0,0,0,100,0,0.0,0,100,0,0,0.0,0,0,0,100,0.0,100,0,0,0,0,0.0,80,0,80,1500.0,3419,2610,0,1,658,150,808,3131,1960,360,250,0,160,350,80,760,2248,288,41,67,100,0,80,저축과 금융자산 투자,비은행금융기관 예금,수익성,모르겠다,아니오
1116,50.0,50.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,50,0,0,0.0,65,65,0,10930.0,2572,1200,0,36,1336,0,1336,2432,1216,240,120,0,260,120,36,440,1356,140,7,113,20,0,0,저축과 금융자산 투자,은행 예금,안전성,변화 없을 것이다,아니오
1118,53000.0,50000.0,50000.0,0,0.0,0,0,50000.0,0,0.0,0.0,0,50000.0,0,0,50000.0,0,0.0,0.0,0,0,50000.0,0.0,0,50000.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,3000.0,3339,1300,2039,84536.0,11775,0,11600,15,0,160,160,8779,3578,1516,78,188,20,398,264,1114,6574,2996,202,419,250,86,2039,부채 상환,비은행금융기관 예금,접근성(이용의 편리성),하락할 것이다,아니오
1119,10000.0,10000.0,10000.0,0,0.0,10000,0,0.0,0,0.0,0.0,0,10000.0,0,0,0.0,0,10000.0,0.0,0,0,0.0,0.0,10000,0.0,10000.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,20700.0,22037,21505,0,532,0,0,0,17123,6810,1800,324,2000,100,180,216,2190,11724,4914,2771,1453,600,90,0,부채 상환,주식(직접투자),수익성,상승할 것이다,예
1120,3940.0,3940.0,3940.0,3940,0.0,0,0,0.0,0,0.0,0.0,0,3940.0,0,0,0.0,0,3940.0,0.0,0,3940,0.0,0.0,0,3940.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,320,0,320,2550.0,1626,600,900,26,0,100,100,1207,1354,360,100,0,300,120,84,390,1773,419,27,0,60,12,320,부채 상환,은행 예금,수익성,하락할 것이다,아니오
1124,1000.0,1000.0,1000.0,0,0.0,0,0,1000.0,0,0.0,0.0,0,0.0,1000,0,1000.0,0,0.0,0.0,0,0,0.0,1000.0,0,0.0,1000.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,44,0,44,4658.0,2394,1200,807,26,361,0,361,2196,1750,720,600,0,60,120,72,178,1948,198,99,55,0,0,44,저축과 금융자산 투자,은행 예금,접근성(이용의 편리성),모르겠다,아니오
1127,8000.0,7500.0,7500.0,0,0.0,0,0,7500.0,0,0.0,7500.0,0,0.0,0,0,7500.0,0,0.0,0.0,0,7500,0.0,0.0,0,7500.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,500.0,7713,7500,213,22196.0,6540,1188,4033,1319,0,0,0,5795,7430,960,3200,1000,150,630,600,890,8175,745,226,256,0,50,213,저축과 금융자산 투자,은행 예금,수익성,변화 없을 것이다,아니오
1128,1000.0,1000.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1000.0,0,0.0,0,0,1000,0,0,0.0,0,1000,0,0,0.0,0,1000,0,0,1000.0,0,0,0,0,0,0.0,620,500,120,19500.0,3967,0,3500,82,285,100,385,3345,2720,1800,144,0,12,188,125,451,3342,622,19,141,130,212,120,부채 상환,비은행금융기관 예금,접근성(이용의 편리성),모르겠다,아니오
1133,2360.0,2360.0,1300.0,0,0.0,1300,0,0.0,0,0.0,0.0,0,1300.0,0,0,1300.0,0,0.0,0.0,0,0,0.0,0.0,1300,0.0,1300.0,1060.0,0,0.0,0,0,0,1060,0,0.0,0,0,0,1060,0.0,0,0,0,1060,1060.0,0,0,0,0,0,0.0,1584,1440,144,-425.0,3397,3217,39,0,141,0,141,2910,1572,360,372,140,80,120,240,260,2059,487,94,199,50,0,144,부채 상환,은행 예금,안전성,모르겠다,예
1135,5394.0,5394.0,5394.0,5394,0.0,0,0,0.0,0,0.0,5394.0,0,0.0,0,0,0.0,5394,0.0,0.0,0,5394,0.0,0.0,0,5394.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,611,432,179,17314.0,2327,1500,0,2,325,500,825,2025,1860,452,194,599,10,183,72,350,2162,302,46,0,32,45,179,부채 상환,비은행금융기관 예금,접근성(이용의 편리성),변화 없을 것이다,아니오
1136,8316.0,8316.0,6705.0,6705,0.0,0,0,0.0,0,0.0,6705.0,0,0.0,0,0,0.0,0,6705.0,0.0,0,6705,0.0,0.0,0,6705.0,0.0,400.0,0,0.0,0,0,0,400,0,0.0,400,0,0,0,0.0,0,0,0,400,0.0,400,120,1091,0,0,0.0,1759,1273,486,16568.0,6082,5790,0,2,290,0,290,4459,2978,596,785,473,50,342,264,468,4601,1623,313,500,190,134,486,부채 상환,은행 예금,안전성,상승할 것이다,예
1137,2396.0,2396.0,2396.0,2396,0.0,0,0,0.0,0,0.0,2396.0,0,0.0,0,0,0.0,0,2396.0,0.0,0,2396,0.0,0.0,0,2396.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,492,372,120,41423.0,11518,11264,0,254,0,0,0,9025,3998,1213,284,754,112,456,243,936,6491,2493,1366,708,220,79,120,저축과 금융자산 투자,비은행금융기관 예금,수익성,하락할 것이다,아니오
1138,10880.0,10880.0,10880.0,10880,0.0,0,0,0.0,0,0.0,10880.0,0,0.0,0,0,0.0,0,10880.0,0.0,0,10880,0.0,0.0,0,10880.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,90,90,0,18181.0,4371,4214,0,3,154,0,154,3796,3829,1300,295,564,70,450,170,980,4404,575,83,347,80,65,0,부채 상환,저축은행 예금,안전성,모르겠다,예
1143,8841.0,8841.0,6311.0,6311,0.0,0,0,0.0,0,0.0,6311.0,0,0.0,0,0,0.0,0,6311.0,0.0,0,6311,0.0,0.0,0,6311.0,0.0,2500.0,0,0.0,0,0,0,2500,0,2500.0,0,0,0,0,0.0,0,0,0,2500,0.0,2500,0,30,0,0,0.0,1149,710,439,13224.0,3675,2321,0,14,140,1200,1340,2953,1676,600,180,156,70,350,180,140,2398,722,78,205,0,0,439,부동산 구입,은행 예금,안전성,변화 없을 것이다,예
1144,50.0,50.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,50,0,0,0.0,440,440,0,31297.0,4910,4227,113,357,213,0,213,4251,2826,840,432,96,120,480,216,642,3485,659,103,406,100,50,0,저축과 금융자산 투자,저축은행 예금,안전성,변화 없을 것이다,아니오
1145,45400.0,15400.0,15400.0,15400,0.0,0,0,0.0,0,0.0,15400.0,0,0.0,0,0,0.0,0,15400.0,0.0,0,15400,0.0,0.0,0,15400.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,30000.0,2400,1800,600,55899.0,5508,2978,2528,2,0,0,0,3595,3812,780,360,900,45,375,336,1016,5725,1913,512,261,340,200,600,부채 상환,은행 예금,안전성,상승할 것이다,예
1147,3200.0,3200.0,1100.0,0,0.0,0,0,1100.0,0,0.0,0.0,0,1100.0,0,0,0.0,0,1100.0,0.0,0,0,1100.0,0.0,0,1100.0,0.0,2000.0,0,0.0,0,0,2000,0,0,0.0,0,2000,0,0,0.0,0,2000,0,0,2000.0,0,0,100,0,0,0.0,5145,4650,495,46900.0,6689,0,5400,16,1223,50,1273,5087,1770,450,83,0,118,220,104,795,3372,1602,79,197,750,81,495,부채 상환,비은행금융기관 예금,접근성(이용의 편리성),하락할 것이다,예
1151,11540.0,11540.0,11540.0,11540,0.0,0,0,0.0,0,0.0,11540.0,0,0.0,0,0,0.0,11540,0.0,0.0,0,11540,0.0,0.0,0,11540.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,996,480,516,16125.0,4264,4144,0,0,120,0,120,3453,2647,800,190,840,20,72,335,390,3458,811,53,142,30,70,516,저축과 금융자산 투자,은행 예금,수익성,상승할 것이다,예
1154,1050.0,1050.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,50,0,1000,0.0,1100,1100,0,54355.0,2380,0,1740,337,303,0,303,2042,1430,360,210,0,170,360,145,185,1768,338,48,80,210,0,0,부채 상환,은행 예금,안전성,변화 없을 것이다,아니오
1155,4580.0,4580.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,4580.0,0,0.0,0,0,4580,0,0,4580.0,0,0,0,0,0.0,0,4580,0,0,4580.0,0,0,0,0,0,0.0,1239,950,289,43950.0,11577,0,11300,247,30,0,30,10005,7090,960,1050,1000,1200,1390,450,1040,8662,1572,249,404,400,230,289,부채 상환,은행 예금,수익성,변화 없을 것이다,아니오
1157,5104.0,5104.0,4000.0,0,0.0,0,0,4000.0,0,0.0,0.0,0,4000.0,0,0,4000.0,0,0.0,0.0,0,0,4000.0,0.0,0,4000.0,0.0,1000.0,0,0.0,0,0,0,1000,0,0.0,0,1000,0,0,0.0,0,0,0,1000,0.0,1000,0,104,0,0,0.0,1443,1206,237,6891.0,7521,50,7000,31,300,140,440,6729,2025,600,156,60,60,396,215,538,2817,792,13,42,100,400,237,부채 상환,비은행금융기관 예금,안전성,하락할 것이다,아니오
1159,490.0,490.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,490.0,0,0.0,0,0,0,490,0,0.0,0,490,0,0,490.0,0,0,0,0,490.0,0,0,0,0,0,0.0,2,0,2,-430.0,953,324,0,0,243,386,629,920,803,120,247,0,60,48,18,310,836,33,1,0,30,0,2,기타,은행 예금,접근성(이용의 편리성),모르겠다,예
1160,26500.0,26500.0,23000.0,0,0.0,0,0,23000.0,0,0.0,23000.0,0,0.0,0,0,0.0,0,0.0,23000.0,0,0,23000.0,0.0,0,23000.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,3500,0,0,0.0,990,530,460,35432.0,5044,195,4000,153,696,0,696,4419,1604,400,420,264,150,150,120,100,2229,625,46,119,0,0,460,부채 상환,은행 예금,안전성,변화 없을 것이다,예
1161,4900.0,4900.0,2200.0,0,0.0,0,0,2200.0,0,0.0,2200.0,0,0.0,0,0,0.0,0,0.0,2200.0,0,2200,0.0,0.0,0,2200.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,1000,0,0,1700,0.0,567,460,107,1990.0,1758,0,1200,0,558,0,558,1600,1596,600,400,0,120,100,96,280,1754,158,11,40,0,0,107,기타,보험,현금화 가능성,변화 없을 것이다,아니오
1162,8098.0,8098.0,7605.0,7605,0.0,0,0,0.0,0,0.0,7605.0,0,0.0,0,0,0.0,0,7605.0,0.0,0,7605,0.0,0.0,0,7605.0,0.0,83.0,0,0.0,0,0,0,83,0,83.0,0,0,0,0,0.0,0,0,0,83,0.0,83,0,410,0,0,0.0,1900,1630,270,35035.0,7182,7127,0,55,0,0,0,5665,4300,1000,360,1000,100,450,240,1150,5817,1517,83,824,150,190,270,부동산 구입,채권(직접투자),안전성,변화 없을 것이다,예
1164,13700.0,13700.0,8500.0,0,0.0,8500,0,0.0,0,0.0,8500.0,0,0.0,0,0,8500.0,0,0.0,0.0,0,0,0.0,0.0,8500,0.0,8500.0,4700.0,0,0.0,0,0,0,4700,0,4700.0,0,0,0,0,0.0,0,0,0,4700,0.0,4700,0,500,0,0,0.0,1051,500,551,6638.0,5093,4845,0,68,180,0,180,3680,3765,745,251,123,498,501,149,1498,5178,1413,163,479,200,20,551,부채 상환,비은행금융기관 예금,현금화 가능성,상승할 것이다,예
1166,20040.0,20040.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,20000.0,20000,0.0,0,0,0,0,0,20000.0,0,0,0,0,0.0,0,0,0,20000,0.0,20000,0,40,0,0,0.0,1680,720,960,85259.0,6079,0,0,343,5136,600,5736,4743,2970,1000,300,720,10,240,120,580,4306,1336,176,0,200,0,960,부채 상환,은행 예금,안전성,변화 없을 것이다,예
1168,6160.0,6160.0,5500.0,0,0.0,0,0,5500.0,0,0.0,5500.0,0,0.0,0,0,5500.0,0,0.0,0.0,0,0,5500.0,0.0,0,5500.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,580,80,0,0,0.0,620,270,350,8168.0,1434,1000,0,13,421,0,421,1007,1386,600,100,0,10,460,96,120,1813,427,10,17,50,0,350,부채 상환,은행 예금,수익성,하락할 것이다,아니오
1169,25000.0,25000.0,25000.0,0,0.0,0,0,25000.0,0,0.0,0.0,0,25000.0,0,0,25000.0,0,0.0,0.0,0,0,0.0,0.0,25000,0.0,25000.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,1200,0,1200,-13514.0,6383,1200,5000,37,146,0,146,4631,5570,1800,180,1500,100,360,324,1306,7322,1752,312,0,200,40,1200,"내구재(자동차, 가구 등) 구입",은행 예금,안전성,변화 없을 것이다,아니오
1171,400.0,400.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,400,0,0,0.0,420,420,0,22489.0,5736,1144,0,72,4300,220,4520,5373,3354,600,240,0,540,480,84,1410,3717,363,155,38,150,20,0,저축과 금융자산 투자,비은행금융기관 예금,접근성(이용의 편리성),하락할 것이다,예
1172,4853.0,4853.0,800.0,0,0.0,0,0,800.0,0,0.0,0.0,0,800.0,0,0,0.0,0,800.0,0.0,0,800,0.0,0.0,0,800.0,0.0,4000.0,0,0.0,0,0,4000,0,0,0.0,0,0,4000,0,4000.0,0,0,0,0,4000.0,0,0,53,0,0,0.0,473,226,247,9247.0,10096,0,10066,30,0,0,0,9553,2084,320,245,480,60,128,250,601,2627,543,37,131,86,42,247,부채 상환,비은행금융기관 예금,수익성,변화 없을 것이다,아니오
