,담보대출_대출용도_거주주택 구입,담보대출_대출용도_거주주택이외 부동산 구입,담보대출_대출용도_전(월)세 보증금 마련,담보대출_대출용도_사업자금 마련,담보대출_대출용도_생활비 마련,담보대출_대출기관_은행(2010년은 농수협 중앙회 제외),담보대출_대출기관_저축은행,담보대출_대출기관_비은행금융기관(2010년은 농수협중앙회 포함),신용대출_대출용도_거주주택 구입,신용대출_대출용도_거주주택이외 부동산 구입,신용대출_대출용도_전(월)세 보증금 마련,신용대출_대출용도_사업자금 마련,신용대출_대출용도_생활비 마련,신용대출_대출기관_은행(2010년은 농수협 중앙회 제외),신용대출_대출기관_저축은행,신용대출_대출기관_비은행금융기관(2010년은 농수협중앙회 포함),자산,부채,순자산액,가구원수,가구주 만나이,가구주 성별,가구주교육정도 통합별,가구주 혼인상태,가구주 은퇴여부,입주형태,수도권여부,가구주 직업(대분류),가구주 종사상지위,부실가계
36,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,4150,0.0,4150,2,29,1,1,0,1,0,1,0,1,0
37,0,0.0,1,0.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,555,2000.0,-1445,2,48,1,0,0,1,0,1,0,0,1
38,0,0.0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,21172,4000.0,17172,2,64,0,0,1,1,1,1,0,0,1
39,0,0.0,0,0.0,0,0.0,0,0.0,0,1,1,0,0,1,0,0,17930,7700.0,10230,3,37,0,1,1,1,0,1,0,1,0
40,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,66454,0.0,66454,2,68,0,0,1,0,1,0,0,0,0
41,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,6410,0.0,6410,1,61,1,0,0,1,1,0,0,0,0
42,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,49,0.0,49,1,79,1,0,0,0,0,0,0,0,0
43,1,0.0,0,0.0,0,1.0,0,0.0,0,0,0,0,1,1,0,0,25037,2080.0,22957,3,51,1,0,0,1,1,0,0,1,0
44,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,30304,0.0,30304,2,65,0,0,1,1,1,0,0,1,0
45,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1650,180.0,1470,2,59,1,0,1,1,0,0,1,0,0
46,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,28810,0.0,28810,3,67,1,0,1,1,1,1,0,0,0
47,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,12728,0.0,12728,3,72,0,0,1,0,1,1,0,0,0
48,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,118340,0.0,118340,5,46,0,1,1,1,0,1,0,0,0
49,1,0.0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,30793,15122.0,15671,3,45,0,0,1,1,1,1,0,1,0
50,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,15840,0.0,15840,3,47,1,0,0,1,0,1,0,1,0
51,1,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,103465,16500.0,86965,4,49,0,1,1,1,1,1,0,1,0
