,담보대출_대출용도_거주주택 구입,담보대출_대출용도_거주주택이외 부동산 구입,담보대출_대출용도_전(월)세 보증금 마련,담보대출_대출용도_부채상환,담보대출_대출용도_사업자금 마련,담보대출_대출용도_생활비 마련,담보대출_대출용도_기타 용도 등,담보대출_대출기관_은행(2010년은 농수협 중앙회 제외),담보대출_대출기관_저축은행,담보대출_대출기관_비은행금융기관(2010년은 농수협중앙회 포함),담보대출_대출기관_보험회사,담보대출_대출기관_기타 기관 등,신용대출,신용대출_대출용도_거주주택 구입,신용대출_대출용도_거주주택이외 부동산 구입,신용대출_대출용도_전(월)세 보증금 마련,신용대출_대출용도_부채상환,신용대출_대출용도_사업자금 마련,신용대출_대출용도_생활비 마련,신용대출_대출용도_기타 용도 등,신용대출_대출기관_은행(2010년은 농수협 중앙회 제외),신용대출_대출기관_저축은행,신용대출_대출기관_비은행금융기관(2010년은 농수협중앙회 포함),신용대출_대출기관_보험회사,가구주 성별,가구주교육정도 통합별,가구주 혼인상태,입주형태,수도권여부,가구주 직업(대분류),부실가구
9657,0.013392857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006521739130434782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0
9658,0.09300892857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.018713733944130066,0.0,0.0,0.0,0.0,0.0106,0.0,0.0,0.0,0.0,0.0,0.0,0.028327097808658473,0.0,0.0,0.0,0.0424,0,1,1,1,0,0,0
9659,0.10259821428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.020643133027934968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0
9660,0.0,0.0,0.05384615384615385,0.0,0.0,0.0,0.0,0.0,0.00975609756097561,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.01785714285714286,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1
9661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.005263157894736842,0.0,0.0,0.004,0.0,0.0,0.0,0,0,1,0,0,0,0
9662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030000000000000002,0.0,0.0,0.0,0.0,0.03947368421052632,0.0,0.0,0.0,0.14705882352941177,0.0,0.0,0,0,0,0,0,1,1
9663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
9664,0.13392857142857145,0.0,0.0,0.0,0.0,0.0,0.0,0.026946914578280787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0
9665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004900000000000001,0.0,0.0,0.0,0.0,0.0,0.0175,0.0,0.004900000000000001,0.0,0.0,0.0,0,1,1,1,0,0,0
9666,0.07428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.01494655528608641,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.009210526315789475,0.0,0.0,0.0,0.0,0.014,0.0,0,1,1,1,0,0,1
9667,0.0,0.0,0.0,0.0,0.0,0.05665714285714286,0.0,0.0,0.0,0.008621739130434783,0.0,0.0,0.0027,0.0,0.0,0.0,0.0,0.0,0.0025,0.005344735435595938,0.0,0.0,0.0054,0.0,0,0,1,1,0,0,0
9668,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0
9669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0
9670,0.0,0.025150453606395402,0.0,0.0,0.0,0.0,0.0,0.025150453606395402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
9671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.02,0.08823529411764706,0.0,0.0,0,1,1,0,0,0,0
9672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,0,0,0
